songnumber,songid,albumid,albumname,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,track_id,artist_hotttnesss,artist_mbid,artist_playmeid,artist_7digitalid,release1,release_7digitalid,song_hotttnesss,track_7digitalid,analysis_sample_rate,audio_md5,end_of_fade_in,energy,key1,key_confidence,loudness,mode1,mode_confidence,start_of_fade_out
1405,SOMNMLC12A8C144272,475847,Gal Sun Ja,ARH4N0N1187FB3E1F1,0,,0,Malkit Singh,0,337.606,6,0.144,127.582,1,0,Mana Laina Chahida,0,TRAESJN128F92E38F1,0.324431,9a81b764-c59a-42c6-a273-9015bae6c366,66601,79228,Gal Sun Ja,475847,nan,5283250,22050,2bbf1f82f66d6c96e9bbd592c2e31c87,0.296,0,6,0.144,-13.891,0,0.367,328.081
1406,SOIEXWD12A8C14314E,318959,Here At The Mayflower,ARVZDOM1187B9B49C9,0,Brooklyn NY,0,Barry Manilow,0,235.964,7,0.207,98.001,4,1,Come Monday,0,TRAESQE128F92D0349,0.543706,7bb60591-46f3-4147-b692-1814a87e832e,2158,3099,Here At The Mayflower,318959,0.301681757,3598740,22050,141235ad5c1c99aa7187b62a819026c6,0,0,7,0.207,-3.723,1,0.406,228.119
1407,SOUYBKO12AB018735E,586019,Directo en tus manos,ARZBOES1187FB40178,0,,0,Carlos Baute,0,211.461,9,0.455,109.982,4,0.896,Angelito (Directo 09),0,TRAESRT12903CC70CE,0.512812,bbad030f-bf55-4fc2-a643-248708e72f22,-1,18188,Directo en tus manos,586019,nan,6499300,22050,3f899753be4d700a3ce554246b2ce318,0,0,9,0.455,-4.392,1,0.472,211.461
1408,SOPJEXC12A6D4FB529,225440,Hung Like A Fly,ARPB4TX1187B98DDEA,0,,0,Marga Gomez,0,95.7383,0,0.171,78.139,4,0.733,Hot Dental Supplies,0,TRAESVN128F4213033,0.228429,8b198672-7752-4b5f-9f7e-383852082581,-1,172632,Hung Like A Fly,225440,0.340922756,2466160,22050,ce893a89f74751117e439461d8834747,0,0,0,0.171,-14.218,1,0.203,95.738
1411,SOJADBN12A6D4FD5F2,422320,Super Discount,ARLBNAC1187FB47151,0,,0,Etienne de CrÃŒÂ©cyÃ¥Ã_,0,215.849,10,0.139,115.862,4,0.721,DÃŒÂ©stockage massif (with Alex Gopher),0,TRAETFX128F933CE66,0.393369,ee1a6d4a-b1ff-46a8-acf2-af575424bda5,-1,23350,Super Discount,422320,0.425124658,4707830,22050,f6c2693f133cc5274cb56ee9c4530a2e,0,0,10,0.139,-8.178,0,0.503,215.849
1415,SOAABSU12A81C1FB9E,230893,Introducing&,ARVUVRE12420780B0B,0,,0,Stiff Meat,0,240.3,1,0.932,166.124,4,0,Lonely,0,TRAETNO128F4222A06,0,,52744,177862,Introducing&,230893,nan,2530760,22050,64f48e01ce6a754636740d2519ebdf46,0.166,0,1,0.932,-6.735,1,0.539,226.482
1416,SOHBEDZ12A8C14021D,522538,Solo Lo Nuestro - 20 Exitos,ARKRRTF1187B9984DA,0,,0,Sonora Santanera,0,168.463,0,0.448,105.459,1,0.373,Estoy Pensando En TÃŒ_,2003,TRAETPQ128F92E562A,0.343428,7a273984-edd9-4451-9c4d-39b38f05ebcd,13951,290021,Solo Lo Nuestro - 20 Exitos,522538,0.48456253,5778690,22050,4622bdf4ba834f36f288ef37cb6fc2c2,0.276,0,0,0.448,-11.106,1,0.489,164.653
1417,SOJPZOO12AC90718EE,602304,Dogma,ARDGALJ1187FB55592,0,,0,Asterisk*,0,41.8477,9,0.553,197.831,1,0,Iron-head: Palestine,0,TRAETPY12903CF4D2F,0.294727,fd020ae5-6e5e-417f-b3c7-415bf68d7ad8,-1,174982,Dogma,602304,nan,6687530,22050,c5aa84cca2cb568d7392e764164f33c9,0.16,0,9,0.553,-4.439,1,0.345,41.848
1419,SOSMRWG12A58A7EA03,249417,Dr. Elmo's Twisted Christmas,AR45KNL1187B992E53,37.7792,California - SF,-122.42,Dr. Elmo,0,185.547,5,0.543,106.127,4,0.042,Grandma's Spending Christmas with the Superstars,0,TRAETWO128F4261792,0.398373,3f4a14ca-96d2-4ebd-9334-502fc24c2f85,-1,166916,Dr. Elmo's Twisted Christmas,249417,0,2808950,22050,c34064a4fa4738c5a0a18ee69f5ccd18,0,0,5,0.543,-16.241,1,0.49,167.549
1421,SOCWHIU12AB01872DA,421963,Croc' noces,ARVEJ9M1187FB4DC44,0,,0,Les Ogres De Barback,0,287.242,11,0.368,149.591,4,0.599,L'education du corps des porcs,2001,TRAETYC128F933BBF4,0.437965,a9a7819b-8c6a-4b9a-a3e9-cad0471963df,-1,171024,Croc' noces,421963,0.299877488,4703100,22050,c92a7eab1e806213dcc763697b68c7c1,0,0,11,0.368,-5.612,0,0.655,272.62
1423,SOOMWCA12AB01834ED,662656,The Final Chapter,ARDQO721187FB3C6D9,0,,0,Rodney O & Joe Cooley,0,230.844,11,0.417,90.071,4,1,Murda',0,TRAEUAX12903CA7635,0.307902,2ba29f11-6321-451f-934d-3f63b3930ce3,-1,493710,The Final Chapter,662656,nan,7342570,22050,a3695f3dae2810a31b0cd33c8244a30d,0.34,0,11,0.417,-16.376,1,0.506,215.742
1424,SOVZXBP12A8C1366A1,100101,Gus Cannon Vol. 1 (1927 - 1928),AR7G0NH1187FB42E47,34.8297,Red Banks MS,-89.5647,Gus Cannon,0,197.067,9,0,116.539,4,1,Big Railroad Blues,0,TRAEUCH128F427FA5E,0.245473,be495112-dba6-43fa-9b6d-01cf8decf85d,28460,2839,Gus Cannon Vol. 1 (1927 - 1928),100101,nan,1037940,22050,a2ca69fc710ce8503d3c2a7147b32498,0.293,0,9,0,-20.832,1,0.132,189.684
1427,SOTESSB12AB017F56D,327478,Steady On,ARGNLJL1187B9AB503,0,,0,Point Of Grace,0,294.086,6,0.535,125.95,4,0.681,Amazing (LP Version),1998,TRAEUHN128F92E2C7F,0.537106,0b68034d-215d-48db-b671-edf76739d637,10094,4887,Steady On,327478,0.327736683,3683720,22050,92baf8b75f975907ad542785ad6e2bb0,0,0,6,0.535,-6.477,0,0.647,285.838
1429,SOMCQZY12A8C136BBF,290701,This Is Love,AR0BV7E1187FB386C1,0,Hollywood CA,0,Lee Ritenour,0,321.567,6,0.355,93.848,4,0.563,Can You Feel It?,1998,TRAEUJB128F427B76F,0.144685,0c361ea5-98c6-4947-900b-201833f2dd84,5194,40247,This Is Love,290701,0.489030797,3261280,22050,157e6cb42906c4c632f94a405e626f12,0,0,6,0.355,-11.241,0,0.443,304.408
1430,SOBHGGX12A8AE45557,278560,Seasons,ARGFVP41187B99296B,0,,0,Max Melvin,0,262.791,1,0.491,100.01,4,0.718,Someday,0,TRAEUMH128F42592BF,0.34429,ac602ca1-584d-4e3d-801b-648aa05ba7ae,-1,44470,Seasons,278560,0.360370583,3102250,22050,1bde3ce5b04075227373a5569bd7fb66,3.767,0,1,0.491,-9.199,0,0.443,252.302
1431,SONGLFT12AB0189B1E,800483,Pinkboy Presents TPC,ARPZPET1252CCF9386,0,,0,Plagia,0,354.115,3,0,132.002,4,0.868,Floripa,0,TRAEUPF12903CB6277,0,,-1,597406,Pinkboy Presents TPC,800483,0,8855410,22050,5a5ae0b914afa9526a1e923229435756,0.171,0,3,0,-12.611,0,0.063,348.508
1432,SOMUULD12A6D4FBB30,177206,Rio,AR1LQNB1187B9A6AE5,0,,0,La Portuaria,0,224.914,7,0.368,122.026,4,1,Hasta El Final,2005,TRAEUVH128F422559A,0.305719,c9c3157e-35e6-4888-9970-3b9771f13197,57330,19928,Rio,177206,0.349166902,1910660,22050,08efd96eff2ca33d7dacb6a05b9c5c8d,0.253,0,7,0.368,-7.29,1,0.503,217.205
1433,SONGJCH12A8C140C32,351182,The Very Best of Relaxing Classics,ARUCJQF1187B9A0A57,0,,0,Hollywood Bowl Orchestra / John Mauceri,0,147.644,3,0.747,111.267,4,0.659,John Dunbar Theme [Dances with Wolves],0,TRAEUYY128F9311B94,0,b40ad2e7-ab1e-4652-9f37-122842dd3ca2,-1,510232,The Very Best of Relaxing Classics,351182,0,3924980,22050,2b6cb4a95446201b9f5b0e2674658d1b,0.308,0,3,0.747,-19.76,1,0.797,132.093
1434,SOYDWJC12AB017D699,624496,Herzen mit Koffer,ARGLRBB12472CE2CFF,0,,0,Rainer Bielfeldt,0,192.731,10,0.668,106.07,4,0.357,Gewisse Leute,0,TRAEUZZ128F931555B,0,eabe48f3-c5aa-4200-b511-115334c97201,-1,290526,Herzen mit Koffer,624496,0,6932400,22050,d56533e436a206241c6b1bdd8509f3ff,0.292,0,10,0.668,-14.393,0,0.625,184.291
1437,SOCKZDX12A58A7B950,673155,Under The Big Black Sun,ARS2KW51187B9B556E,0,,0,X,0,160.078,2,0.079,122.495,4,0,Motel Room In My Bed (LP Version),0,TRAEVIA12903CC3C37,0.410744,f5abf27f-4785-4777-9ea6-234a1d143ee7,47105,29574,Under The Big Black Sun,673155,0,7460450,22050,07d527314aa6ca922aad170000e0a118,0.331,0,2,0.079,-6.671,1,0.484,157.217
1439,SOROJYG12AB0182217,423728,Kino,ARIXB7T1187B9AB215,0,,0,Intars Busulis,0,200.463,5,0.391,133.981,4,0,???????,0,TRAEVJH128F9340C1C,0.338993,37d131d3-1639-4ae3-b642-eb786a15f16a,162320,317186,Kino,423728,nan,4723640,22050,a622e6374a3edbe5477186080f475dfb,0,0,5,0.391,-4.003,1,0.381,192.157
1440,SOUEEDA12AC3DF474F,775675,Greatest Features,AR9788H1187B9A05D1,39.9523,Philadelphia PA,-75.1624,Jedi Mind Tricks,0,240.065,7,0.632,87.005,4,0.972,Brute Force II,0,TRAEVKG12903CE75F4,0.372351,62cc0dfc-52b8-4434-ba8c-937c47ef7ada,69958,125847,Greatest Features,775675,nan,8582220,22050,8275ee5733efa9de34def7571a13058c,3.64,0,7,0.632,-7.359,1,0.534,226.871
1443,SOKOPOR12AB0184FED,505410,Black Ark EP,ARM8BKO1187FB3AD47,0,,0,Carl Crack,0,256.705,7,0.029,51.265,1,0,Dogon,1998,TRAEVLZ128F932D969,0.29479,6b2e7187-9114-4050-a7af-eba918aebde8,-1,8472,Black Ark EP,505410,0,5592170,22050,f15ad20c5c536cc7c8288e2a1081807d,0.311,0,7,0.029,-12.891,1,0.38,246.184
1444,SOQTUQJ12A8C144F36,430799,Les autres,ARABS971187B9A8509,0,,0,France D'Amour,0,226.063,0,0.591,103.427,3,1,Ma soeur,0,TRAEVME128F92DF956,0.305579,550b5eea-4202-4037-9fae-66fc7ae77340,-1,309201,Les autres,430799,nan,4807200,22050,74e4fbd02cb41aea6b36c91a6c237438,3.64,0,0,0.591,-8.26,0,0.609,221.234
1447,SOKUGPJ12A58A7FD8D,368796,Never Wanted to Dance (Live In London),AROKDJ41187B9A7700,40.7146,New York NY,-74.0071,Mindless Self Indulgence,0,222.145,6,0.048,182.98,4,0.794,Never Wanted to Dance (Live In London),0,TRAEVTK128F9337030,0.485881,44f42386-a733-4b51-8298-fe5c807d03aa,24481,20503,Never Wanted to Dance (Live In London),368796,0.270775999,4106420,22050,45cdf5ba4acf9056820d027d306e1697,0.328,0,6,0.048,-4.487,0,0.336,212.161
1448,SOOSGYY12A8135690B,129224,Pure Genius: The Complete Atlantic Recordings 1952-1960,AR20CFC1187B98A25D,0,Albany GA,0,Ray Charles,0,87.0657,5,0.347,97.302,1,0,Losing Hand & Dialog #3 (w/reverb) (Rehearsal Session with Ahmet Ertegun_ 1953),0,TRAEVYV128F4231BA7,0.673207,8518b7af-5e33-498a-90c9-9fd772f4c422,2093,4342,Pure Genius: The Complete Atlantic Recordings 1952-1960,129224,nan,1342210,22050,756a239d2a283cda27797a20253d4cc2,0,0,5,0.347,-16.077,1,0.336,79.168
1449,SONNOZT12A6D4FC2EE,175294,Jazz From A To B,ARCLCFS1187B9AE476,-23.5629,Sao Paulo Brazil,-46.6547,Laurindo Almeida,0,201.038,0,0.162,128.664,1,0.024,Pega Joso,0,TRAEWEC128F421F5D9,0.341905,c23280a8-abc8-4435-ab44-43762ce0c89c,31977,19806,Jazz From A To B,175294,0.405115722,1884180,22050,c26cf0f24bed4443bc4782fae9d95685,0,0,0,0.162,-19.87,1,0.308,191.466
1450,SOESZEO12AB017F908,347757,Pieni Maailma,ARLRHRM11E2835E415,51.2614,Basingstoke,-1.09712,Mandi,0,200.594,7,0.762,113.063,4,0.214,Pieni Maailma,1998,TRAEWGT128F930A556,0.295502,5dc3323e-deec-4658-b87f-3488792df573,74267,270586,Pieni Maailma,347757,0,3889450,22050,1a397f57911028341aa27ae7cae25b59,0.322,0,7,0.762,-6.572,1,0.957,194.815
1451,SOAQHHC12A8C139869,298847,Clear,ARVKT151187B9A181D,33.9816,Riverside CA,-117.374,The Color Red,0,216.058,6,0,157.001,4,1,Cleansing,0,TRAEWHH128F428F3AB,0.373685,1546e253-a8d8-4e5c-bab3-dc0b7aa1eb7c,20193,64051,Clear,298847,0.473346541,3343830,22050,ce8223eb7aac8e738b4bea9d2bdaf125,0.113,0,6,0,-4.773,1,0,206.878
1452,SOJUNOI12A8C137A33,98397,The North Side Benches,ARXRVY51187B99E98E,45.4215,Ottawa ON Canada,-75.6919,Jim Bryson,0,232.803,7,0.368,98.623,4,0.345,Somewhere Else,0,TRAEWKQ128F427C3EC,0.427817,8984444e-fab5-4176-81dc-a020aa1778ea,111876,78405,The North Side Benches,98397,0.383934684,1023650,22050,185b67e9c9f06a6e731579a34b4af82e,0.206,0,7,0.368,-7.716,1,0.528,220.317
1453,SOXMPXX12AB01891E3,580087,IrreversÃŒ_veis,ARIMYEU12086C1536B,0,,0,IrreversÃŒ_veis,0,254.824,11,0.265,104.02,4,0.805,Os Dois IrreversÃŒ_veis,0,TRAEWKS12903CB651D,0,93734e34-33b9-4999-be8f-474ace541e29,-1,431475,IrreversÃŒ_veis,580087,0,6429500,22050,797c26450137925fafffd8a1ff6e0f41,1.437,0,11,0.265,-7.632,0,0.371,248.512
1455,SOQMMMQ12AB0181202,448416,Bobby's Girl - The Complete Seville Recordings,ARRBINW1187B98AE6D,40.6551,Brooklyn NY,-73.9489,Marcie Blane,0,138.292,3,0.642,103.189,4,0.25,Ragtime Sound,0,TRAEWMF128F93080BE,0.304912,6ce22798-7801-4bda-95e0-03169745f5e4,-1,326228,Bobby's Girl - The Complete Seville Recordings,448416,nan,4976860,22050,a8e801b034a7cf2399b883b29ac172f1,0.16,0,3,0.642,-8.882,1,0.578,132.197
1456,SOXGJST12A8C1406F6,219093,Future Shock,ARNMWP51187FB3E963,41.8842,Chicago IL,-87.6324,Curtis Mayfield,0,225.671,2,0.261,94.672,4,0.81,This Year (ReMastered),2006,TRAEWQN128F4286306,0.495307,4dca4bb2-23ba-4103-97e6-5810311db33a,2041,5104,Future Shock,219093,nan,2389970,22050,4f8568da0b935777d4eb201198e497f9,5.526,0,2,0.261,-15.314,1,0.311,215.696
1457,SOOHVCV12AB0181E5D,463184,Look At  You Now,ARTHKHA1187FB3996A,40.8525,Long Island NY,-73.1358,PMD,0,214.021,11,0.329,115.949,5,0.858,The Awakening (Clean),0,TRAEWQP128F9330AF7,0.397468,703ff9ba-5ab8-4852-8909-c9379d98afd3,-1,6278,Look At  You Now,463184,nan,5155730,22050,66d9e5748a9504173605f8d013db201f,0.972,0,11,0.329,-10.69,0,0.436,200.162
1458,SORZRPC12A8C13A1B1,98200,20 Melodies pour rever_ Volume 3,ARG719Z1187FB551FC,0,,0,Alain Morisod,0,245.446,7,0.021,117.993,3,0.833,Besame Mucho,0,TRAEWQV128F427B9B2,0.294162,f3e3a398-8749-42bf-bbb8-c503e9bcb19e,74252,78307,20 Melodies pour rever_ Volume 3,98200,0,1021020,22050,325104d7e5d6076a71bd3f1671fad5da,3.489,0,7,0.021,-9.472,0,0.392,235.282
1459,SOFCZKJ12A6D4F5BF0,22484,Hang On To Your Resistance (The Early Years),ARY1VGA1187FB5A39E,56.8515,Lynn Lake Manitoba Canada,-101.049,Tom Cochrane,0,227.604,4,0.528,137.149,4,0,What's In You?,0,TRAEWUR128F1456EAB,0.371787,825a918f-09fa-40ee-9c27-b0921d48bdbb,2175,15918,Hang On To Your Resistance (The Early Years),22484,nan,232597,22050,a65a86c3220add658c40d38c49e0e1de,0.351,0,4,0.528,-12.172,1,0.659,204.788
1460,SOZCYVH12A8C13EB54,262149,FANtastic Christmas,ARTF2KG1187B98DDD1,0,,0,Gold City,0,173.662,10,0.77,145.16,3,1,It Came Upon The Midnight Clear,1994,TRAEWUW128F42710A4,0.396521,e434c190-2f7b-4256-97d1-4e0d8d825acf,54907,183482,FANtastic Christmas,262149,0,2875020,22050,0769b0e985dc3ff736f642c4f31d89f9,0.276,0,10,0.77,-10.786,1,0.661,164.281
1462,SOSGXII12A67020363,8539,Sometimes You Can't Make It On Your Own,ARUJ5A41187FB3F5F1,0,Dublin Ireland,0,U2,0,451.448,11,0.134,130.013,4,0.362,Vertigo,2004,TRAEWXY128E0786183,0.750311,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,1636,106,Sometimes You Can't Make It On Your Own,8539,nan,86213,22050,143f0fe4cb1028e88c00391fa40d3acc,0,0,11,0.134,-4.833,0,0.231,444.418
1463,SOSBROL12AB0183CD0,490242,You Win  Again,AR059HI1187B9A14D7,33.7483,Atlanta GA,-84.3911,Roy Drusky,0,138.84,0,0.278,103.053,5,0.742,Country Rose,0,TRAEWYQ128F9306C38,0.306519,56d7c456-3ffb-4384-89bf-b0024c2d9d55,32287,31741,You Win  Again,490242,0,5431940,22050,7e3a51c005cd6a0a6652430f6f244bf4,3.466,0,0,0.278,-17.772,1,0.581,133.869
1464,SOSYNKD12A6D4F6655,77126,Safizam,ARZI4B31187B991125,51.0556,Gent,3.72856,SAF,0,317.544,10,0.705,82.634,4,1,Skopska situacija,0,TRAEXAN128EF354542,0.27896,8200e21b-9e43-43f0-aec3-65177ff5ccab,112987,62532,Safizam,77126,0,807890,22050,1fafd982f31aecaf0519e5e7c24f01c2,0.223,0,10,0.705,-10.575,0,0.613,312.645
1466,SOQIJPO12A8C13E369,218110,Bardo,ARGAWJY11F50C50904,0,,0,Jane Winther,0,164.989,2,0.106,21.438,1,0,Deep Voices,0,TRAEXGP128F4283791,0.345285,,50989,131684,Bardo,218110,nan,2378860,22050,3f20f380ec3ff1c12e4ee0169e6bc7a2,4.238,0,2,0.106,-24.773,1,0.357,164.989
1468,SOUGKGL12A58A7BA58,504423,DiscografÃŒ_a Completa 1994-2000,ARBGJLS11F4C83D4B9,0,,0,Xmilk,0,100.832,1,0.63,146.454,4,1,Why,0,TRAEXLG128F932B2EC,0.321384,,-1,358813,DiscografÃŒ_a Completa 1994-2000,504423,0,5582250,22050,8fec96a609d0549942cb4a3ed9bfbed0,0,0,1,0.63,-3.8,1,0.626,97.274
1469,SOBUAFP12A6D4F9934,49859,Gift Grub 7,AROIHOI122988FEB8E,0,,0,Mario Rosenstock,0,44.1987,0,0,79.05,7,0.115,Smoke,0,TRAEXNK128F14901F8,0.0490344,,-1,15464,Gift Grub 7,49859,0,525879,22050,e3c53d96d2dd3cf420df81157b2abaa6,0,0,0,0,-17.472,1,0,44.199
1470,SONSWDF12A8C133D57,141264,Breakfast With Jape Squad,ARUBJTR1241B9CB16D,0,,0,Jape Squad,0,267.337,7,0.911,89.696,3,0.94,Bus Monkeys,0,TRAEXSE128F4249171,0.2483,,212723,110492,Breakfast With Jape Squad,141264,nan,1471740,22050,4b4589a84ed7584ae84b497455970f11,0.392,0,7,0.911,-5.967,1,0.807,263.343
1471,SOLPZLH12A6D4F9D12,559,The Good_ The Bad_ The Ugly,AR7V0DI1187FB524DE,0,,0,Frankee,0,149.995,5,0,110.768,4,1,Gotta Man,2004,TRAEXTM128E07811E1,0.371777,a278331c-1b22-4ebd-b93f-4408bd96f9b8,640,356,The Good_ The Bad_ The Ugly,559,0.265861049,4611,22050,991eb5bb45f4f3a11a822a2ecc916106,0.223,0,5,0,-9.035,1,0,147.18
1473,SOMORCS12A58A7E211,129313,Soulcrusher,ART703V1187FB4FD63,0,,0,Operator,0,213.551,5,0.242,135.958,4,1,Soulcrusher (Amended Album Version),0,TRAEXYP128F4231193,0.401936,fb8b6996-265c-4d5b-934e-bc5a1e513a4a,-1,88221,Soulcrusher,129313,0.646151234,1337670,22050,f642a0f03f06b9c1232a46904aac34b3,0.374,0,5,0.242,-5.15,1,0.367,208.962
1474,SODXJGJ12A6D4F9E5D,65428,1970: The Complete Fun House Sessions,ARLR9U31187B9A71AD,42.3281,Ann Arbor MI,-83.7336,The Stooges,0,328.907,9,0.875,132.595,1,0,T.V. Eye (Take 3),1999,TRAEYHF128F14B06D0,0.497051,794c6bf2-3241-416f-9b8f-24e2d84a1c4b,5515,14590,1970: The Complete Fun House Sessions,65428,nan,682307,22050,696d73f29e2aa33572a9ad66ae4a75b2,0,0,9,0.875,-6.862,1,0.59,324.156
1475,SOIHKKW12AB0186CB7,569433,Early Works for Me If It Works for You II,ARDL38Z1187B9B9FB5,0,,0,Dntel,0,252.865,5,0.457,93.32,5,1,A Machine and a Memory Keeps You Alive,0,TRAEYJG12903C98F15,0.477799,1517c06e-2fe2-452a-981c-b3d9077e0520,6450,65278,Early Works for Me If It Works for You II,569433,0.49271364,6307130,22050,6cda18701c6443bc6fff9e492c928a32,0,0,5,0.457,-15.644,0,0.425,248.471
1476,SOSWXBF12A58A78B99,185934,Count The Cost,ARU2JAB1187FB50C72,0,,0,David Meece,0,203.833,2,0.392,126.555,4,0,Some People They Never Believe (LP Version),0,TRAEYQC128F4239093,0.310299,ea7e2bb8-bfb5-4307-a4c5-68df453de287,37004,4931,Count The Cost,185934,0.334706549,2014790,22050,37ad90d3e4874a7ca388a6b4e8ce7b88,0,0,2,0.392,-13.341,1,0.359,198.798
1477,SOFMNYQ12AC468D899,782401,The Harvey Averne Dozen,AR449OQ1187B99B25E,0,,0,Harvey Averne,0,185.208,8,0.941,89.848,1,0.156,Why Can't We Really Be Free,0,TRAEYXM12903CF8B86,0.276997,1afe1b40-79cf-4405-bbed-9a11b7dc046a,212577,583681,The Harvey Averne Dozen,782401,nan,8653460,22050,cc5f1a6f851af9e866c0b16cc82ad495,0.595,0,8,0.941,-15.605,1,0.673,175.102
1478,SOKAMAI12AB01852F5,345122,Reggae Max,ARUBX2Y1187B99CD25,0,,0,Tyrone Taylor,0,223.503,9,0.715,165.271,4,0.58,Members Only,0,TRAEZAZ128F930608E,0.299393,f02e98c4-a0fa-4c02-ac0a-587f4319ac87,-1,7789,Reggae Max,345122,nan,3867820,22050,88a801624bac5e3deede51782c3f28c6,0,0,9,0.715,-7.64,1,0.645,218.482
1480,SOLOJYI12A8C13C49E,217883,Operaatio Jalokivimeri,AR22KLC1187B98E812,0,,0,Kaija Koo,0,192.261,11,0.436,155.049,4,0.272,Savu hÃŒ_lvenee,1998,TRAEZKA128F4282B79,0.379228,446455f2-7d62-45ca-a7ef-53c1c676ac5c,-1,103711,Operaatio Jalokivimeri,217883,0.288481643,2375760,22050,72b6531ddcacdf0e405d12a1e64e4342,2.067,0,11,0.436,-8.228,0,0.508,188.111
1482,SOZYFSB12A8C1393CF,255383,Somewhere,AR0JEOI1187B98B918,31.1689,Texas,-100.077,Erik Berglund,0,253.048,1,0.708,66.595,1,0,All I Ask Of You,0,TRAEZMX128F425C3CE,0.336191,0aa9f7e2-58be-4a8b-813b-4c02fc2288f8,-1,179770,Somewhere,255383,nan,2787500,22050,f23edd7357260dbcf1cc7b645b4e806b,0.351,0,1,0.708,-8.274,1,0.695,242.091
1483,SOTSXZM12A8AE47061,139457,Millennium-Tanzparty,ARZWBH21187B99ACE1,0,,0,GÃŒ_nter Noris,0,180.793,2,0.198,92.277,4,1,Tigerauge Rock,0,TRAEZWE128F4244505,0,ebe40a4e-b33d-4ba5-af20-d48da3a98517,-1,412383,Millennium-Tanzparty,139457,0,1447520,22050,61d8932d349b5e361335af6f1d9a5fcc,0,0,2,0.198,-11.19,0,0.46,180.793
1485,SOEBDOO12AB01868CA,500537,It's About Time!,ARAVS1S1187FB4C519,0,Los Angeles CA,0,Chico Hamilton,0,200.28,4,0.683,110.167,4,1,Autumn In New York,0,TRAFABD128F9321D41,0.351676,699067a0-ae8c-45fc-82c1-6227d91f9bb4,39306,10769,It's About Time!,500537,0,5543060,22050,a2585e394e912cc0705cae12a9216c40,0,0,4,0.683,-29.692,1,0.581,185.22
1487,SOSDYXX12AB017AD6B,386879,King Of Rock,ARX9YIP1187B98A656,0,,0,RUN-DMC,0,446.328,2,0.022,98,4,1,King Of Rock,1985,TRAFAEO128F92E9A19,0.60663,5ecc3f72-20a6-47a0-8dc5-fb0b3dadeea0,1373,13447,King Of Rock,386879,nan,4296040,22050,11cb3b787e628aff93dae5a6b5e96eda,0.119,0,2,0.022,-5.19,0,0.207,441.347
1489,SOHRKRG12A6310F103,209869,Covers,AR6892W1187B9AC71B,0,London England,0,Placebo,0,223.921,5,0.013,84.956,4,0,Where Is My Mind (XFM Live Version),2003,TRAFAIB128F426E636,0.586433,847e8284-8582-4b0e-9c26-b042a4f49e57,1275,23,Covers,209869,0.754321059,2277780,22050,142e3452de822967a0e2df6f8ea3a84f,0,0,5,0.013,-6.465,1,0.299,218.117
1492,SOGMESY12A67020F25,9856,Lullabies To Paralyze,AR6G4V01187B9AD086,0,,0,Queens Of The Stone Age,0,82.8599,4,0.302,159.212,3,0.378,This Lullaby,2005,TRAFAJC128E078888B,0.552413,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,-1,5845,Lullabies To Paralyze,9856,0.71817979,101211,22050,2a54fa862e397aa5c3b3ed986f462509,0.172,0,4,0.302,-19.368,0,0.639,80.167
1495,SOAZSIZ12AB018AF81,706005,A Match & Some Gasoline,ARWYVP51187B98C516,42.3317,Detroit MI,-83.0479,The Suicide Machines,0,170.84,10,0.065,145.18,4,0,Your Silence,2003,TRAFAQY12903CA70F7,0.467538,c6d2cbdf-30e7-4233-a1b4-e892f116ada1,-1,240277,A Match & Some Gasoline,706005,0.556739869,7830070,22050,00c09c5b52b56dd7f424065eb5ff4478,0,0,10,0.065,-2.323,1,0.215,167.277
1497,SONWYRE12AB0181366,534155,Let Life Flow,AR4W9EZ1187B99282A,29.9537,New Orleans LA,-90.0777,Kenny Neal,0,295.157,5,0.841,85.006,4,0.485,Since I Met You Baby,0,TRAFAXI128F9303F5B,0.38301,adf3d1c6-6a7d-446c-b191-28bac7a2ee4a,-1,176599,Let Life Flow,534155,nan,5904770,22050,731d094ec5f41d2f3444492c317bdf34,0.351,0,5,0.841,-11.777,1,0.664,281.931
1501,SOHQLJI12A6D4F76F7,19603,Man,AR2J2WF1187FB46271,54.483,Egremont Cumbria England,-3.53444,Francis Dunnery,0,257.201,7,0.388,101.663,4,0.846,The Ava Song,2001,TRAFBGP128F1451DFF,0.383524,211256ad-1a39-4bb9-a216-24a2d985343e,42151,13801,Man,19603,0.254921543,205562,22050,bc2e427dceab48af4f9a05126b0e9d20,0.125,0,7,0.388,-7.884,1,0.455,238.904
1504,SOSQYCZ12AF72A1A14,454183,Enter The Vaselines,ARK24KH1187B9B6B93,0,,0,Vaselines,0,207.177,11,0.535,189.825,4,0.686,Teenage Superstars (Album),0,TRAFBML128F93163FB,0.417819,a70b63fd-cae7-4a5f-b338-b18343f3ee2f,-1,335742,Enter The Vaselines,454183,nan,5045620,22050,42c0ef4aa39628c22919df8392f786cf,0.299,0,11,0.535,-6.186,0,0.496,198.089
